adc ax,ax|6611c0
adc ax,bx|6611d8
adc ax,cx|6611c8
adc ax,dx|6611d0
adc ax,si|6611f0
adc ax,di|6611f8
adc ax,sp|6611e0
adc ax,[bx]|66671307
adc ax,[si]|66671304
adc ax,[di]|66671305
adc ax,bp|6611e8
adc ax,[bp]|6667134600
adc ax,0x0|6683d000
adc ax,[0x0]|66130500000000
adc ax,[ebx]|661303
adc ax,[esi]|661306
adc ax,[edi]|661307
adc ax,[ebp]|66134500
adc ax,[esp]|66130424
adc bx,ax|6611c3
adc bx,bx|6611db
adc bx,cx|6611cb
adc bx,dx|6611d3
adc bx,si|6611f3
adc bx,di|6611fb
adc bx,sp|6611e3
adc bx,[bx]|6667131f
adc bx,[si]|6667131c
adc bx,[di]|6667131d
adc bx,bp|6611eb
adc bx,[bp]|6667135e00
adc bx,0x0|6683d300
adc bx,[0x0]|66131d00000000
adc bx,[ebx]|66131b
adc bx,[esi]|66131e
adc bx,[edi]|66131f
adc bx,[ebp]|66135d00
adc bx,[esp]|66131c24
adc cx,ax|6611c1
adc cx,bx|6611d9
adc cx,cx|6611c9
adc cx,dx|6611d1
adc cx,si|6611f1
adc cx,di|6611f9
adc cx,sp|6611e1
adc cx,[bx]|6667130f
adc cx,[si]|6667130c
adc cx,[di]|6667130d
adc cx,bp|6611e9
adc cx,[bp]|6667134e00
adc cx,0x0|6683d100
adc cx,[0x0]|66130d00000000
adc cx,[ebx]|66130b
adc cx,[esi]|66130e
adc cx,[edi]|66130f
adc cx,[ebp]|66134d00
adc cx,[esp]|66130c24
adc dx,ax|6611c2
adc dx,bx|6611da
adc dx,cx|6611ca
adc dx,dx|6611d2
adc dx,si|6611f2
adc dx,di|6611fa
adc dx,sp|6611e2
adc dx,[bx]|66671317
adc dx,[si]|66671314
adc dx,[di]|66671315
adc dx,bp|6611ea
adc dx,[bp]|6667135600
adc dx,0x0|6683d200
adc dx,[0x0]|66131500000000
adc dx,[ebx]|661313
adc dx,[esi]|661316
adc dx,[edi]|661317
adc dx,[ebp]|66135500
adc dx,[esp]|66131424
adc si,ax|6611c6
adc si,bx|6611de
adc si,cx|6611ce
adc si,dx|6611d6
adc si,si|6611f6
adc si,di|6611fe
adc si,sp|6611e6
adc si,[bx]|66671337
adc si,[si]|66671334
adc si,[di]|66671335
adc si,bp|6611ee
adc si,[bp]|6667137600
adc si,0x0|6683d600
adc si,[0x0]|66133500000000
adc si,[ebx]|661333
adc si,[esi]|661336
adc si,[edi]|661337
adc si,[ebp]|66137500
adc si,[esp]|66133424
adc di,ax|6611c7
adc di,bx|6611df
adc di,cx|6611cf
adc di,dx|6611d7
adc di,si|6611f7
adc di,di|6611ff
adc di,sp|6611e7
adc di,[bx]|6667133f
adc di,[si]|6667133c
adc di,[di]|6667133d
adc di,bp|6611ef
adc di,[bp]|6667137e00
adc di,0x0|6683d700
adc di,[0x0]|66133d00000000
adc di,[ebx]|66133b
adc di,[esi]|66133e
adc di,[edi]|66133f
adc di,[ebp]|66137d00
adc di,[esp]|66133c24
adc sp,ax|6611c4
adc sp,bx|6611dc
adc sp,cx|6611cc
adc sp,dx|6611d4
adc sp,si|6611f4
adc sp,di|6611fc
adc sp,sp|6611e4
adc sp,[bx]|66671327
adc sp,[si]|66671324
adc sp,[di]|66671325
adc sp,bp|6611ec
adc sp,[bp]|6667136600
adc sp,0x0|6683d400
adc sp,[0x0]|66132500000000
adc sp,[ebx]|661323
adc sp,[esi]|661326
adc sp,[edi]|661327
adc sp,[ebp]|66136500
adc sp,[esp]|66132424
adc [bx],ax|66671107
adc [bx],bx|6667111f
adc [bx],cx|6667110f
adc [bx],dx|66671117
adc [bx],si|66671137
adc [bx],di|6667113f
adc [bx],sp|66671127
adc [bx],bp|6667112f
adc [bx],ah|671027
adc [bx],al|671007
adc [bx],bh|67103f
adc [bx],bl|67101f
adc [bx],ch|67102f
adc [bx],cl|67100f
adc [bx],dh|671037
adc [bx],dl|671017
adc [bx],eax|671107
adc [bx],ebx|67111f
adc [bx],ecx|67110f
adc [bx],esi|671137
adc [bx],edi|67113f
adc [bx],ebp|67112f
adc [bx],esp|671127
adc [si],ax|66671104
adc [si],bx|6667111c
adc [si],cx|6667110c
adc [si],dx|66671114
adc [si],si|66671134
adc [si],di|6667113c
adc [si],sp|66671124
adc [si],bp|6667112c
adc [si],ah|671024
adc [si],al|671004
adc [si],bh|67103c
adc [si],bl|67101c
adc [si],ch|67102c
adc [si],cl|67100c
adc [si],dh|671034
adc [si],dl|671014
adc [si],eax|671104
adc [si],ebx|67111c
adc [si],ecx|67110c
adc [si],esi|671134
adc [si],edi|67113c
adc [si],ebp|67112c
adc [si],esp|671124
adc [di],ax|66671105
adc [di],bx|6667111d
adc [di],cx|6667110d
adc [di],dx|66671115
adc [di],si|66671135
adc [di],di|6667113d
adc [di],sp|66671125
adc [di],bp|6667112d
adc [di],ah|671025
adc [di],al|671005
adc [di],bh|67103d
adc [di],bl|67101d
adc [di],ch|67102d
adc [di],cl|67100d
adc [di],dh|671035
adc [di],dl|671015
adc [di],eax|671105
adc [di],ebx|67111d
adc [di],ecx|67110d
adc [di],esi|671135
adc [di],edi|67113d
adc [di],ebp|67112d
adc [di],esp|671125
adc bp,ax|6611c5
adc bp,bx|6611dd
adc bp,cx|6611cd
adc bp,dx|6611d5
adc bp,si|6611f5
adc bp,di|6611fd
adc bp,sp|6611e5
adc bp,[bx]|6667132f
adc bp,[si]|6667132c
adc bp,[di]|6667132d
adc bp,bp|6611ed
adc bp,[bp]|6667136e00
adc bp,0x0|6683d500
adc bp,[0x0]|66132d00000000
adc bp,[ebx]|66132b
adc bp,[esi]|66132e
adc bp,[edi]|66132f
adc bp,[ebp]|66136d00
adc bp,[esp]|66132c24
adc [bp],ax|6667114600
adc [bp],bx|6667115e00
adc [bp],cx|6667114e00
adc [bp],dx|6667115600
adc [bp],si|6667117600
adc [bp],di|6667117e00
adc [bp],sp|6667116600
adc [bp],bp|6667116e00
adc [bp],ah|67106600
adc [bp],al|67104600
adc [bp],bh|67107e00
adc [bp],bl|67105e00
adc [bp],ch|67106e00
adc [bp],cl|67104e00
adc [bp],dh|67107600
adc [bp],dl|67105600
adc [bp],eax|67114600
adc [bp],ebx|67115e00
adc [bp],ecx|67114e00
adc [bp],esi|67117600
adc [bp],edi|67117e00
adc [bp],ebp|67116e00
adc [bp],esp|67116600
adc ah,[bx]|671227
adc ah,[si]|671224
adc ah,[di]|671225
adc ah,[bp]|67126600
adc ah,0x0|80d400
adc ah,ah|10e4
adc ah,al|10c4
adc ah,bh|10fc
adc ah,bl|10dc
adc ah,ch|10ec
adc ah,cl|10cc
adc ah,dh|10f4
adc ah,dl|10d4
adc ah,[0x0]|122500000000
adc ah,[ebx]|1223
adc ah,[esi]|1226
adc ah,[edi]|1227
adc ah,[ebp]|126500
adc ah,[esp]|122424
adc al,[bx]|671207
adc al,[si]|671204
adc al,[di]|671205
adc al,[bp]|67124600
adc al,0x0|1400
adc al,ah|10e0
adc al,al|10c0
adc al,bh|10f8
adc al,bl|10d8
adc al,ch|10e8
adc al,cl|10c8
adc al,dh|10f0
adc al,dl|10d0
adc al,[0x0]|120500000000
adc al,[ebx]|1203
adc al,[esi]|1206
adc al,[edi]|1207
adc al,[ebp]|124500
adc al,[esp]|120424
adc bh,[bx]|67123f
adc bh,[si]|67123c
adc bh,[di]|67123d
adc bh,[bp]|67127e00
adc bh,0x0|80d700
adc bh,ah|10e7
adc bh,al|10c7
adc bh,bh|10ff
adc bh,bl|10df
adc bh,ch|10ef
adc bh,cl|10cf
adc bh,dh|10f7
adc bh,dl|10d7
adc bh,[0x0]|123d00000000
adc bh,[ebx]|123b
adc bh,[esi]|123e
adc bh,[edi]|123f
adc bh,[ebp]|127d00
adc bh,[esp]|123c24
adc bl,[bx]|67121f
adc bl,[si]|67121c
adc bl,[di]|67121d
adc bl,[bp]|67125e00
adc bl,0x0|80d300
adc bl,ah|10e3
adc bl,al|10c3
adc bl,bh|10fb
adc bl,bl|10db
adc bl,ch|10eb
adc bl,cl|10cb
adc bl,dh|10f3
adc bl,dl|10d3
adc bl,[0x0]|121d00000000
adc bl,[ebx]|121b
adc bl,[esi]|121e
adc bl,[edi]|121f
adc bl,[ebp]|125d00
adc bl,[esp]|121c24
adc ch,[bx]|67122f
adc ch,[si]|67122c
adc ch,[di]|67122d
adc ch,[bp]|67126e00
adc ch,0x0|80d500
adc ch,ah|10e5
adc ch,al|10c5
adc ch,bh|10fd
adc ch,bl|10dd
adc ch,ch|10ed
adc ch,cl|10cd
adc ch,dh|10f5
adc ch,dl|10d5
adc ch,[0x0]|122d00000000
adc ch,[ebx]|122b
adc ch,[esi]|122e
adc ch,[edi]|122f
adc ch,[ebp]|126d00
adc ch,[esp]|122c24
adc cl,[bx]|67120f
adc cl,[si]|67120c
adc cl,[di]|67120d
adc cl,[bp]|67124e00
adc cl,0x0|80d100
adc cl,ah|10e1
adc cl,al|10c1
adc cl,bh|10f9
adc cl,bl|10d9
adc cl,ch|10e9
adc cl,cl|10c9
adc cl,dh|10f1
adc cl,dl|10d1
adc cl,[0x0]|120d00000000
adc cl,[ebx]|120b
adc cl,[esi]|120e
adc cl,[edi]|120f
adc cl,[ebp]|124d00
adc cl,[esp]|120c24
adc dh,[bx]|671237
adc dh,[si]|671234
adc dh,[di]|671235
adc dh,[bp]|67127600
adc dh,0x0|80d600
adc dh,ah|10e6
adc dh,al|10c6
adc dh,bh|10fe
adc dh,bl|10de
adc dh,ch|10ee
adc dh,cl|10ce
adc dh,dh|10f6
adc dh,dl|10d6
adc dh,[0x0]|123500000000
adc dh,[ebx]|1233
adc dh,[esi]|1236
adc dh,[edi]|1237
adc dh,[ebp]|127500
adc dh,[esp]|123424
adc dl,[bx]|671217
adc dl,[si]|671214
adc dl,[di]|671215
adc dl,[bp]|67125600
adc dl,0x0|80d200
adc dl,ah|10e2
adc dl,al|10c2
adc dl,bh|10fa
adc dl,bl|10da
adc dl,ch|10ea
adc dl,cl|10ca
adc dl,dh|10f2
adc dl,dl|10d2
adc dl,[0x0]|121500000000
adc dl,[ebx]|1213
adc dl,[esi]|1216
adc dl,[edi]|1217
adc dl,[ebp]|125500
adc dl,[esp]|121424
adc [0x0],ax|66110500000000
adc [0x0],bx|66111d00000000
adc [0x0],cx|66110d00000000
adc [0x0],dx|66111500000000
adc [0x0],si|66113500000000
adc [0x0],di|66113d00000000
adc [0x0],sp|66112500000000
adc [0x0],bp|66112d00000000
adc [0x0],ah|102500000000
adc [0x0],al|100500000000
adc [0x0],bh|103d00000000
adc [0x0],bl|101d00000000
adc [0x0],ch|102d00000000
adc [0x0],cl|100d00000000
adc [0x0],dh|103500000000
adc [0x0],dl|101500000000
adc [0x0],eax|110500000000
adc [0x0],ebx|111d00000000
adc [0x0],ecx|110d00000000
adc [0x0],esi|113500000000
adc [0x0],edi|113d00000000
adc [0x0],ebp|112d00000000
adc [0x0],esp|112500000000
adc eax,[bx]|671307
adc eax,[si]|671304
adc eax,[di]|671305
adc eax,[bp]|67134600
adc eax,0x0|83d000
adc eax,[0x0]|130500000000
adc eax,eax|11c0
adc eax,ebx|11d8
adc eax,ecx|11c8
adc eax,esi|11f0
adc eax,edi|11f8
adc eax,ebp|11e8
adc eax,esp|11e0
adc eax,[ebx]|1303
adc eax,[esi]|1306
adc eax,[edi]|1307
adc eax,[ebp]|134500
adc eax,[esp]|130424
adc ebx,[bx]|67131f
adc ebx,[si]|67131c
adc ebx,[di]|67131d
adc ebx,[bp]|67135e00
adc ebx,0x0|83d300
adc ebx,[0x0]|131d00000000
adc ebx,eax|11c3
adc ebx,ebx|11db
adc ebx,ecx|11cb
adc ebx,esi|11f3
adc ebx,edi|11fb
adc ebx,ebp|11eb
adc ebx,esp|11e3
adc ebx,[ebx]|131b
adc ebx,[esi]|131e
adc ebx,[edi]|131f
adc ebx,[ebp]|135d00
adc ebx,[esp]|131c24
adc ecx,[bx]|67130f
adc ecx,[si]|67130c
adc ecx,[di]|67130d
adc ecx,[bp]|67134e00
adc ecx,0x0|83d100
adc ecx,[0x0]|130d00000000
adc ecx,eax|11c1
adc ecx,ebx|11d9
adc ecx,ecx|11c9
adc ecx,esi|11f1
adc ecx,edi|11f9
adc ecx,ebp|11e9
adc ecx,esp|11e1
adc ecx,[ebx]|130b
adc ecx,[esi]|130e
adc ecx,[edi]|130f
adc ecx,[ebp]|134d00
adc ecx,[esp]|130c24
adc esi,[bx]|671337
adc esi,[si]|671334
adc esi,[di]|671335
adc esi,[bp]|67137600
adc esi,0x0|83d600
adc esi,[0x0]|133500000000
adc esi,eax|11c6
adc esi,ebx|11de
adc esi,ecx|11ce
adc esi,esi|11f6
adc esi,edi|11fe
adc esi,ebp|11ee
adc esi,esp|11e6
adc esi,[ebx]|1333
adc esi,[esi]|1336
adc esi,[edi]|1337
adc esi,[ebp]|137500
adc esi,[esp]|133424
adc edi,[bx]|67133f
adc edi,[si]|67133c
adc edi,[di]|67133d
adc edi,[bp]|67137e00
adc edi,0x0|83d700
adc edi,[0x0]|133d00000000
adc edi,eax|11c7
adc edi,ebx|11df
adc edi,ecx|11cf
adc edi,esi|11f7
adc edi,edi|11ff
adc edi,ebp|11ef
adc edi,esp|11e7
adc edi,[ebx]|133b
adc edi,[esi]|133e
adc edi,[edi]|133f
adc edi,[ebp]|137d00
adc edi,[esp]|133c24
adc ebp,[bx]|67132f
adc ebp,[si]|67132c
adc ebp,[di]|67132d
adc ebp,[bp]|67136e00
adc ebp,0x0|83d500
adc ebp,[0x0]|132d00000000
adc ebp,eax|11c5
adc ebp,ebx|11dd
adc ebp,ecx|11cd
adc ebp,esi|11f5
adc ebp,edi|11fd
adc ebp,ebp|11ed
adc ebp,esp|11e5
adc ebp,[ebx]|132b
adc ebp,[esi]|132e
adc ebp,[edi]|132f
adc ebp,[ebp]|136d00
adc ebp,[esp]|132c24
adc esp,[bx]|671327
adc esp,[si]|671324
adc esp,[di]|671325
adc esp,[bp]|67136600
adc esp,0x0|83d400
adc esp,[0x0]|132500000000
adc esp,eax|11c4
adc esp,ebx|11dc
adc esp,ecx|11cc
adc esp,esi|11f4
adc esp,edi|11fc
adc esp,ebp|11ec
adc esp,esp|11e4
adc esp,[ebx]|1323
adc esp,[esi]|1326
adc esp,[edi]|1327
adc esp,[ebp]|136500
adc esp,[esp]|132424
adc [ebx],ax|661103
adc [ebx],bx|66111b
adc [ebx],cx|66110b
adc [ebx],dx|661113
adc [ebx],si|661133
adc [ebx],di|66113b
adc [ebx],sp|661123
adc [ebx],bp|66112b
adc [ebx],ah|1023
adc [ebx],al|1003
adc [ebx],bh|103b
adc [ebx],bl|101b
adc [ebx],ch|102b
adc [ebx],cl|100b
adc [ebx],dh|1033
adc [ebx],dl|1013
adc [ebx],eax|1103
adc [ebx],ebx|111b
adc [ebx],ecx|110b
adc [ebx],esi|1133
adc [ebx],edi|113b
adc [ebx],ebp|112b
adc [ebx],esp|1123
adc [esi],ax|661106
adc [esi],bx|66111e
adc [esi],cx|66110e
adc [esi],dx|661116
adc [esi],si|661136
adc [esi],di|66113e
adc [esi],sp|661126
adc [esi],bp|66112e
adc [esi],ah|1026
adc [esi],al|1006
adc [esi],bh|103e
adc [esi],bl|101e
adc [esi],ch|102e
adc [esi],cl|100e
adc [esi],dh|1036
adc [esi],dl|1016
adc [esi],eax|1106
adc [esi],ebx|111e
adc [esi],ecx|110e
adc [esi],esi|1136
adc [esi],edi|113e
adc [esi],ebp|112e
adc [esi],esp|1126
adc [edi],ax|661107
adc [edi],bx|66111f
adc [edi],cx|66110f
adc [edi],dx|661117
adc [edi],si|661137
adc [edi],di|66113f
adc [edi],sp|661127
adc [edi],bp|66112f
adc [edi],ah|1027
adc [edi],al|1007
adc [edi],bh|103f
adc [edi],bl|101f
adc [edi],ch|102f
adc [edi],cl|100f
adc [edi],dh|1037
adc [edi],dl|1017
adc [edi],eax|1107
adc [edi],ebx|111f
adc [edi],ecx|110f
adc [edi],esi|1137
adc [edi],edi|113f
adc [edi],ebp|112f
adc [edi],esp|1127
adc [ebp],ax|66114500
adc [ebp],bx|66115d00
adc [ebp],cx|66114d00
adc [ebp],dx|66115500
adc [ebp],si|66117500
adc [ebp],di|66117d00
adc [ebp],sp|66116500
adc [ebp],bp|66116d00
adc [ebp],ah|106500
adc [ebp],al|104500
adc [ebp],bh|107d00
adc [ebp],bl|105d00
adc [ebp],ch|106d00
adc [ebp],cl|104d00
adc [ebp],dh|107500
adc [ebp],dl|105500
adc [ebp],eax|114500
adc [ebp],ebx|115d00
adc [ebp],ecx|114d00
adc [ebp],esi|117500
adc [ebp],edi|117d00
adc [ebp],ebp|116d00
adc [ebp],esp|116500
adc [esp],ax|66110424
adc [esp],bx|66111c24
adc [esp],cx|66110c24
adc [esp],dx|66111424
adc [esp],si|66113424
adc [esp],di|66113c24
adc [esp],sp|66112424
adc [esp],bp|66112c24
adc [esp],ah|102424
adc [esp],al|100424
adc [esp],bh|103c24
adc [esp],bl|101c24
adc [esp],ch|102c24
adc [esp],cl|100c24
adc [esp],dh|103424
adc [esp],dl|101424
adc [esp],eax|110424
adc [esp],ebx|111c24
adc [esp],ecx|110c24
adc [esp],esi|113424
adc [esp],edi|113c24
adc [esp],ebp|112c24
adc [esp],esp|112424
arpl ax,ax|63c0
arpl ax,bx|63d8
arpl ax,cx|63c8
arpl ax,dx|63d0
arpl ax,si|63f0
arpl ax,di|63f8
arpl ax,sp|63e0
arpl ax,bp|63e8
arpl bx,ax|63c3
arpl bx,bx|63db
arpl bx,cx|63cb
arpl bx,dx|63d3
arpl bx,si|63f3
arpl bx,di|63fb
arpl bx,sp|63e3
arpl bx,bp|63eb
arpl cx,ax|63c1
arpl cx,bx|63d9
arpl cx,cx|63c9
arpl cx,dx|63d1
arpl cx,si|63f1
arpl cx,di|63f9
arpl cx,sp|63e1
arpl cx,bp|63e9
arpl dx,ax|63c2
arpl dx,bx|63da
arpl dx,cx|63ca
arpl dx,dx|63d2
arpl dx,si|63f2
arpl dx,di|63fa
arpl dx,sp|63e2
arpl dx,bp|63ea
arpl si,ax|63c6
arpl si,bx|63de
arpl si,cx|63ce
arpl si,dx|63d6
arpl si,si|63f6
arpl si,di|63fe
arpl si,sp|63e6
arpl si,bp|63ee
arpl di,ax|63c7
arpl di,bx|63df
arpl di,cx|63cf
arpl di,dx|63d7
arpl di,si|63f7
arpl di,di|63ff
arpl di,sp|63e7
arpl di,bp|63ef
arpl sp,ax|63c4
arpl sp,bx|63dc
arpl sp,cx|63cc
arpl sp,dx|63d4
arpl sp,si|63f4
arpl sp,di|63fc
arpl sp,sp|63e4
arpl sp,bp|63ec
arpl [bx],ax|676307
arpl [bx],bx|67631f
arpl [bx],cx|67630f
arpl [bx],dx|676317
arpl [bx],si|676337
arpl [bx],di|67633f
arpl [bx],sp|676327
arpl [bx],bp|67632f
arpl [si],ax|676304
